mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_clipnorm,param_epochs,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2014.591282,20.03492001,23.34610467,13.22914866,50,4,50,Nadam,"{'batch_size': 50, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Nadam'}",0.589999974,0.620000005,0.574999988,0.50999999,0.574999988,0.573999989,0.035972214,1
1968.215258,42.48465877,30.65444307,8.833223962,50,6,50,Adam,"{'batch_size': 50, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Adam'}",0.529999971,0.584999979,0.49000001,0.584999979,0.61500001,0.56099999,0.04487761,2
2227.142058,31.85977257,43.85094824,6.850606775,50,6,50,Nadam,"{'batch_size': 50, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Nadam'}",0.644999981,0.579999983,0.574999988,0.474999994,0.49000001,0.552999991,0.062817187,3
2017.166043,54.84229796,22.98739262,11.00612088,50,4,50,Adam,"{'batch_size': 50, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Adam'}",0.545000017,0.589999974,0.375,0.574999988,0.589999974,0.53499999,0.08167006,4
2512.627211,202.3307498,80.38074784,4.533328087,50,6,50,RMSprop,"{'batch_size': 50, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'RMSprop'}",0.414999992,0.400000006,0.469999999,0.38499999,0.529999971,0.439999992,0.053385383,5
2067.338877,96.97844061,27.19644656,15.41504634,50,4,50,RMSprop,"{'batch_size': 50, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'RMSprop'}",0.465000004,0.400000006,0.370000005,0.38499999,0.449999988,0.413999999,0.037067505,6
2163.721918,125.9879068,56.86940165,36.07128625,100,6,50,Adam,"{'batch_size': 100, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Adam'}",0.414999992,0.409999996,0.375,0.38499999,0.425000012,0.401999998,0.018867965,7
1796.972143,34.55392307,59.01311598,16.68368284,100,4,50,Adam,"{'batch_size': 100, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Adam'}",0.414999992,0.400000006,0.375,0.38499999,0.425000012,0.4,0.018439092,8
1963.403206,44.08818488,56.36778445,22.59189641,100,4,50,Nadam,"{'batch_size': 100, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Nadam'}",0.414999992,0.400000006,0.375,0.38499999,0.425000012,0.4,0.018439092,8
2091.025833,137.9905592,65.40103087,20.47468691,100,4,50,RMSprop,"{'batch_size': 100, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'RMSprop'}",0.414999992,0.400000006,0.375,0.38499999,0.425000012,0.4,0.018439092,8
1887.53641,66.74821246,4.630872345,3.288506707,100,6,50,RMSprop,"{'batch_size': 100, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'RMSprop'}",0.414999992,0.400000006,0.375,0.38499999,0.425000012,0.4,0.018439092,8
2256.024801,50.18804336,34.5138351,8.033044265,100,6,50,Nadam,"{'batch_size': 100, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Nadam'}",0.405000001,0.360000014,0.375,0.38499999,0.425000012,0.390000004,0.022803509,12
2025.597372,30.28496342,15.45148158,8.688825806,50,4,50,SGD,"{'batch_size': 50, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'SGD'}",0.414999992,0.314999998,0.375,0.25,0.300000012,0.331,0.057913725,13
2063.634523,111.594592,64.63180733,24.61627673,100,4,50,SGD,"{'batch_size': 100, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'SGD'}",0.090000004,0.400000006,0.085000001,0.375,0.425000012,0.275000004,0.153915563,14
2186.412315,100.2925554,45.47303481,18.02750075,100,6,50,Adadelta,"{'batch_size': 100, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Adadelta'}",0.289999992,0.230000004,0.230000004,0.204999998,0.284999996,0.247999999,0.03355592,15
1983.853868,23.72980582,24.75790029,8.282188149,50,4,50,Adadelta,"{'batch_size': 50, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Adadelta'}",0.174999997,0.219999999,0.245000005,0.25,0.264999986,0.230999997,0.031527764,16
2240.053114,36.3121976,19.10945764,6.086594381,50,6,50,Adadelta,"{'batch_size': 50, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'Adadelta'}",0.194999993,0.254999995,0.189999998,0.25999999,0.144999996,0.208999994,0.04328972,17
2049.71254,47.25502332,19.52058201,11.23615542,50,6,50,SGD,"{'batch_size': 50, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'SGD'}",0.189999998,0.194999993,0.215000004,0.289999992,0.090000004,0.195999998,0.06398437,18
2301.065161,117.3079038,72.43135448,15.45385697,100,6,50,SGD,"{'batch_size': 100, 'clipnorm': 6, 'epochs': 50, 'optimizer': 'SGD'}",0.174999997,0.055,0.194999993,0.209999993,0.170000002,0.160999997,0.054899907,19
2135.945926,85.00810602,79.92726932,28.12264311,100,4,50,Adadelta,"{'batch_size': 100, 'clipnorm': 4, 'epochs': 50, 'optimizer': 'Adadelta'}",0.135000005,0.075000003,0.090000004,0.100000001,0.185000002,0.117000003,0.039319207,20
